,Name,Title,CF Standard Name,Units,UID,Provenance,Name Validation,Status,CMOR Variables,Description,is alias (from CF Standard Name),Created,Last Modified By,Atmosphere team review status,Tagged author team,Data protection consent,Proposer name,Proposer email,Justification for inclusion,Atmosphere team review status copy 4,Processing Note,Proposed CF Standard Name,Proposed CF Standard Name Description,Processing Comment,Atmosphere review comments copy,Comments,Edited by author teams,Atmosphere team review status copy 2,Atmosphere team review status copy 5,Atmosphere team review status copy 6,Atmosphere review comments,CF Standard Name Proposal Accepted
rec2ke4ev1JWPOG72,fVegSoil,Total Carbon Mass Flux from Vegetation Directly to Soil,carbon_mass_flux_into_soil_from_vegetation_excluding_litter,kg m-2 s-1,15fea217c64dbec48b115765548b89ae,"CMIP5_Lmon,PMIP3_Lclim,PMIP3_Lmon,SPECS_Lmon",1,Existing physical parameter,['recJFOzuOyQl5KDmj'],"Carbon mass flux per unit area from vegetation directly into soil, without intermediate conversion to litter.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec2qX17x1y7b2uSY,tauu,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,Pa,3abb7c5b4c4650e9d17a8439004aebea,"CMIP5_Amon,CMIP5_CF3hr,CMIP5_CFsubhr,CORDEX_6h,CORDEX_day,PMIP3_Aclim,PMIP3_Amon,SPECS_Amon,SPECS_day",1,Existing physical parameter,"['rechgP0ELMoQi6mMw', 'recfUik08kLIZxaen', 'recbsOnldFAX1zcyO', 'rec0bKuiGzrbWghDh']","Downward eastward wind stress at the surface
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec2tFZEihM7uFk33,o2satos,Surface Dissolved Oxygen Concentration at Saturation,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_at_saturation,mol m-3,c96daba6-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['reccT7LJrjR1N404O'],"""Mole concentration at saturation"" means the mole concentration in a saturated solution. Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole\_concentration\_of\_X\_in\_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox\_expressed\_as\_nitrogen"".
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec2v55zZo7LMCvdE,c13Land,Mass of 13C in All Terrestrial Carbon Pools,mass_content_of_13C_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,kg m-2,590f49fc-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['recmxMsDDf3L6Lx3w'],"Carbon-13 mass content per unit area in vegetation (any living plants e.g. trees, shrubs, grass), litter (dead plant material in or above the soil), soil, and forestry and agricultural products (e.g. paper, cardboard, furniture, timber for construction, biofuels and food for both humans and livestock).
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec2wdpdJoAnxssTO,hfrunoffds,Temperature Flux Due to Runoff Expressed as Heat Flux into Sea Water,temperature_flux_due_to_runoff_expressed_as_heat_flux_into_sea_water,W m-2,155ede0bff2578a736e6379552483f4e,OMIP.Omon,1,Existing physical parameter,"['recKxUb6IDoREnbqa', 'reclU6bxnAFi3yHEN', 'recZqrUseOU6JV25r']","Heat flux associated with liquid water which drains from land. It is calculated relative to the heat that would be transported by runoff water entering the sea at zero degrees Celsius. 
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec2z4LLOYqnTXwBf,rldcs4co2,Downwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,downwelling_longwave_flux_in_air_assuming_clear_sky,W m-2,bc0982cd4cc45a7ad96524f549a468c4,CMIP5_CFmon,1,Existing physical parameter,['recQfXpI3wGCoIkRj'],"Downwelling clear-sky longwave radiation calculated using carbon dioxide concentrations increased fourfold (includes the fluxes at the surface and TOA)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['4co2'],,,,,,,,,,,
rec332aFcflnR078t,rss,Net Shortwave Surface Radiation,surface_net_downward_shortwave_flux,W m-2,cdd8f95be110061697bc323f6bcaba2d,SPECS_Amon,1,Existing physical parameter,"['recsWzUT47JRltUnl', 'recc75zdZ0Z5OUiPW', 'recZl4UGgMJkGU8LP']","Net downward shortwave radiation at the surface
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec37ceeUYfz5bsU5,rsdcs4co2,Downwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,downwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,b8acc50c52fa48b40a4512d06d2d6435,CMIP5_CFmon,1,Existing physical parameter,['recVR6XUdpwpzK1c1'],"Downwelling clear-sky shortwave radiation calculated using carbon dioxide concentrations increased fourfold
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['4co2'],,,,,,,,,,,
rec38WMimoN9S4uZY,sfno2,NO2 Volume Mixing Ratio in Lowest Model Layer,mole_fraction_of_nitrogen_dioxide_in_air,mol mol-1,fe6ca864-a41f-11e5-9025-ac72891c3257,AerChemMIP endorsement (1),1,Existing physical parameter,"['rec8V8n31wU67eqWn', 'recH7qfbOHCx4gIDo']","Mole fraction is used in the construction mole\_fraction\_of\_X\_in\_Y, where X is a material constituent of Y.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['nsrf'],,,,,,,,,,,
rec3ABPUn4Oz9r2eZ,emich3oh,Total emission rate of methanol,tendency_of_atmosphere_mass_content_of_methanol_due_to_emission,kg m-2 s-1,,,1,Under review,['recegqCUq0g79Gnm4'],,0 checked out of 1,2024-08-29T12:26:34.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"To understand VOC budgets
",,,,,,,,,,,,,
rec3Bs2HbrWpTolAa,dms,Dimethyl Sulphide (DMS) Mole Fraction,mole_fraction_of_dimethyl_sulfide_in_air,mol mol-1,04f25e5e4c98a0a98575bc3d805bb03a,"CMIP5,C4MIP,HighResMIP,LS3MIP",1,Existing physical parameter,['rec1mMNRaxZTFa7r4'],"Mole fraction is used in the construction mole\_fraction\_of\_X\_in\_Y, where X is a material constituent of Y.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec3CA33HLrwsRlp4,tropdo3chm,Net Chemistry Tendency of O3 in troposphere,,mol m-3 s-1,,,1,Under review,['recbB21QKzvIfn0EV'],,,2024-08-30T12:27:45.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@e,"To understand net chemical tendencies which tend to differ from the difference between o3prod and o3loss
",,,tendency_of_atmosphere_mole_concentration_of_ozone_due_to_net_chemical_production,https://github.com/cf-convention/vocabularies/issues/214,,,,,,,,,
rec3D5VSwObLEJrtx,no2,NO2 Volume Mixing Ratio,mole_fraction_of_nitrogen_dioxide_in_air,mol mol-1,648f83bb87b09bb8c24aaf82bf3c9aef,"CCMI1_daily,CCMI1_monthly",1,Existing physical parameter,['recLe2jFInOGCqKwS'],"Mole fraction is used in the construction mole\_fraction\_of\_X\_in\_Y, where X is a material constituent of Y.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec3FWGK9ttFRHpco,vegHeightShrub,Height of Shrubs,canopy_height,m,59174aa8-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['recrgk7Ri8aKOOqel'],"Vegetation height averaged over the shrub fraction of a grid cell.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec3Lghsa4NTbMrcp,prra,Rainfall Flux,rainfall_flux,kg m-2 s-1,5912cab4-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LS3MIP],1,Existing physical parameter,"['recnbaEfnE9Nk1XVv', 'recoYFTbg2pe0WsER', 'recuTAebEeavVvYvj', 'recSeqcFjuCMVmaXl', 'recSpC1yNW2F6jDix', 'recVgef1OXOIEmiaV', 'recPUPu7KGO6atUp8']","In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec3PVn9tEN3BKjms,wetoa,Wet Deposition Rate of Dry Aerosol Total Organic Matter,minus_tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_wet_deposition,kg m-2 s-1,646edc2e8f1c393b5569dba5d598f8c8,CMIP5_aero,1,Existing physical parameter,['recrFDF2Qage9LQJt'],"Deposition rate of organic matter in aerosols (measured by the dry mass) due to wet processes
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec3SAenxv4I2bFPo,dissicnat,Natural Dissolved Inorganic Carbon Concentration,mole_concentration_of_dissolved_inorganic_carbon_natural_analogue_in_sea_water,mol m-3,2fcdf51262cdbc4279810b7a487b149e,OMIP_Omon,1,Existing physical parameter,"['rec9XWX8h8a56BVvV', 'rec2umY2JG7KoTTaD']","Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration at preindustrial atmospheric xCO2
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec3TL53tG42eq5ab,emibbvoc,total emission rate of NMVOC from all biomass burning,,kg m-2 s-1,,,1,Under review,['recIjVbaUoaj7HJyF'],,,2024-08-30T10:57:00.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"To understand sources of NMVOCs
",,,tendency_of_atmosphere_mass_content_of_nmvoc_due_to_emission_from_all_fires,https://github.com/cf-convention/vocabularies/issues/215,,,,,,,,,
rec3WVQTKNfNWjDzJ,rhLut,Heterotrophic Respiration on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,kg m-2 s-1,5912a174-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LUMIP],1,Existing physical parameter,['recZaq4EhFY1IpXJK'],"Carbon mass flux per unit area into atmosphere due to heterotrophic respiration on land (respiration by consumers), calculated on land-use tiles.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec3fY3ipqHRUVvwj,emico,Total Emission Rate of CO,tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission,kg m-2 s-1,754b682975aaa6baabc618db3903bba8,CCMI1_monthly,1,Existing physical parameter,['recw04hGDGbrPwhiz'],"Integrate 3D emission field vertically to 2d field.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['vi'],,,,,,,,,,,
rec3gKFdT9EZuYH4F,hfsso,Surface Downward Sensible Heat Flux,surface_downward_sensible_heat_flux,W m-2,e60a812c3a4351f1747a8bf9fb48aec8,"CMIP5,C4MIP,HighResMIP,ISMIP6,LS3MIP,PMIP",1,Existing physical parameter,['reczARSz2cH54lDTN'],"Downward sensible heat flux over sea ice free sea. The surface sensible heat flux, also called turbulent heat flux, is the exchange of heat between the surface and the air by motion of air.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec3iQ9I2bgwED4He,fracLut,Percentage of Grid Cell for Each Land-Use Tile,area_fraction,%,591423aa-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LUMIP],1,Existing physical parameter,"['reciufAI4YmaJMi9K', 'rec854hRfIi55a9XF']","End of year values (not annual mean); note that percentage should be reported as percentage of land grid cell (example: frac\_lnd = 0.5, frac\_ocn = 0.5, frac\_crop\_lnd = 0.2 (of land portion of grid cell), then frac\_lut(crop) = 0.5\*0.2 = 0.1)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec3pSHol2WBXsQrp,emiaoa,Total Emission Rate of Anthropogenic Organic Aerosol,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_net_chemical_production_and_emission,kg m-2 s-1,a4e52f0f3833b395c09c73f1b6f3f748,CCMI1_monthly,1,Existing physical parameter,['recyqI5fmXFmM9YAl'],"anthropogenic part of emioa
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['vi'],,,,,,,,,,,
rec3rnOPtWN9fFG86,swsffluxaero,Shortwave Heating Rate Due to Volcanic Aerosols,surface_downwelling_shortwave_flux_in_air_due_to_volcanic_ambient_aerosol_particles,W m-2,5914f852-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [VolMIP],1,Existing physical parameter,['rec5n7WRf2sZAj0e7'],"Shortwave heating rate due to volcanic aerosols to be diagnosed through double radiation call
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,"['zm', 'drad']",,,,,,,,,,,
rec3sag1DAAIphYUg,cWood,Carbon Mass in Wood,stem_mass_content_of_carbon,kg m-2,64d818a9a2f9e72570449c024070950e,"CMIP5_Lmon,PMIP3_Lclim,PMIP3_Lmon,SPECS_Lmon",1,Existing physical parameter,['recgv0cfyzWJV6p3e'],"Carbon mass per unit area in wood, including sapwood and hardwood.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec3wBC6cqllmYEnm,utendnogw,Eastward Acceleration Due to Non-Orographic Gravity Wave Drag,tendency_of_eastward_wind_due_to_nonorographic_gravity_wave_drag,m s-2,590e85a8-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [DynVarMIP],1,Existing physical parameter,"['recrdT2SHiMNj97IF', 'recPUP6b9ulmMX0yV', 'recDuzqbJjZ5VdTNQ', 'recU6U9rqiFlY4kUu', 'rec4ah6i1cMiTbZeI']","Tendency of the eastward wind by parameterized nonorographic gravity waves.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['gw'],,,,,,,,,,,
rec3xNBYqUwV9ZSEb,ocontemppadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_eddy_advection,W m-2,c172481027367670eaf1e53fb8d2e841,OMIP_Oyr,1,Existing physical parameter,"['recuFeuQCQuAMSK2y', 'rectMUyq2OXsTr2kh']","Tendency of heat content for a grid cell from parameterized eddy advection (any form of eddy advection). Reported only for models that use conservative temperature as prognostic field.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec3zaCAgav9fwHcG,fNfert,Total Nitrogen Added for Cropland Fertilisation (Artificial and Manure),tendency_of_soil_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_fertilization,kg m-2 s-1,84f09af8-acb7-11e6-b5ee-ac72891c3257,CMIP6 endorsement [C4MIP],1,Existing physical parameter,['recg5djRCRGiI9NJf'],"Total Nitrogen added for cropland fertilisation (artificial and manure). Relative to total land area of a grid cell, not relative to agricultural area
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec45NBPsSvxoAEMk,fLuc,Net Carbon Mass Flux into Atmosphere Due to Land-Use Change [kgC m-2 s-1],surface_net_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_anthropogenic_land_use_change,kg m-2 s-1,2191e3410c3a2beedfec222f81f028b6,"CMIP5_Lmon,PMIP3_Lclim,PMIP3_Lmon,SPECS_Lmon",1,Existing physical parameter,['recrFUOlJmZjxFMJy'],"Carbon mass flux per unit area into atmosphere due to human changes to land (excluding forest regrowth) accounting possibly for different time-scales related to fate of the wood, for example.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec464hXUcDpXt8Cx,epfy,Northward Component of the Eliassen-Palm Flux,northward_eliassen_palm_flux_in_air,m3 s-2,9522ca96d0b066ebe8defd5541de0582,"CCMI1_daily,CCMI1_monthly",1,Existing physical parameter,"['recr8OltMfnoGPp69', 'rec8GjzbxAwNQZAUh']","Transformed Eulerian Mean Diagnostics Meridional component Fy of Eliassen-Palm (EP) flux (Fy, Fz) derived from 6hr or higher frequency fields (use daily fields or 12 hr fields if the 6 hr are not available). Please use the definitions given by equation 3.5.3a of Andrews, Holton and Leovy text book, but scaled by density to have units m3 s-2.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['zm'],,,,,,,,,,,
rec47TdCBmmxnw5xe,taUTLSadd,6 hourly instantaneous temperature at 2 additional pressure levels in the UTLS region (175 and 225 hPa),air_temperature,K,,,1,Under review,['recka6qLvILhPqFWB'],,0 checked out of 1,2024-09-13T18:18:03.000Z,Beth Dingley,,['Impacts & Adaptation'],True,Impacts and Adaptation,paula.gonzalez@metoffice.gov.uk,"Requested to study impacts on aviation. Needed to diagnose clear air turbulence.
",In progress,,,,,,,,,,,,
rec4BnOa94Cwh9sbw,wap500,Pressure Tendency,lagrangian_tendency_of_air_pressure,Pa s-1,e0a1b4528bdd009ada638396c9537baf,CMIP5_CFday,1,Existing physical parameter,['recGIH72jGtsGfKZV'],"Omega (vertical velocity in pressure coordinates, positive downwards) at 500hPa level;
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec4Jjjw6vCbbAbrL,mmrpm1,PM1.0 Mass Mixing Ratio,mass_fraction_of_pm1_dry_aerosol_particles_in_air,kg kg-1,e3e6208c3cf8ae5ac917ee971cb42e29,CCMI1_monthly,1,Existing physical parameter,['rec2GLxWygmH7p5w5'],"Mass fraction atmospheric particulate compounds with an aerodynamic diameter of less than or equal to 1 micrometers
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec4PqYkSFOfoYoyA,chegpso4,Gas-Phase Production Rate of SO4,tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_gaseous_phase_net_chemical_production,kg m-2 s-1,ef1d823bb688b3e2a3f8374bb29fe0bf,CCMI1_monthly,1,Existing physical parameter,['recdPEnfJW5NQTV52'],"proposed name: tendency\_of\_atmosphere\_mass\_content\_of\_sulfate\_dry\_aerosol\_due\_to\_gas\_phase\_net\_chemical\_production
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec4RYxNqHTkhvt1k,treeFracNdlEvg,Needleleaf Evergreen Tree Area Percentage,area_fraction,%,59144f06-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['recB45Mfod2py9H4i'],"This is the percentage of the entire grid cell that is covered by needleleaf evergreen trees.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec4RyATEjGd7YduP,ch4,Mole Fraction of CH4,mole_fraction_of_methane_in_air,mol mol-1,7f4c49e8abe3230e87fa7299b73448fa,"CMIP5_Amon,PMIP3_Aclim,PMIP3_Amon",1,Existing physical parameter,"['recAA91dxVLJ0gjGq', 'recHoMjkxx1S4KSgy', 'recNf2WSIjhB8x3Hm', 'recJimroIkSGWKfW6', 'recbRRsrRUOcRGWEj', 'recRYBTRtmmsKSpvn']","Mole fraction is used in the construction mole\_fraction\_of\_X\_in\_Y, where X is a material constituent of Y.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec4XWTihkR033Lls,tntr,Tendency of Air Temperature Due to Radiative Heating,tendency_of_air_temperature_due_to_radiative_heating,K s-1,93a0ba1f23bfc41b720ea68951d28144,"CMIP5_CFmon,CMIP5_CFsubhr",1,Existing physical parameter,"['rec8VBu9lgpgLs5Eb', 'recNmYSYcKxIVS2tQ', 'recXWXrLlfYnPxVwM']","Tendency of Air Temperature due to Radiative Heating
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec4bLj6iosWRGXbU,fsitherm,Water Flux into Sea Water Due to Sea Ice Thermodynamics,water_flux_into_sea_water_due_to_sea_ice_thermodynamics,kg m-2 s-1,f718ef1940e6feab018d81f508bd87c2,OMIP.Omon,1,Existing physical parameter,['reczAG0GII1fvbIBh'],"computed as the sea ice thermodynamic water flux into the ocean divided by the area of the ocean portion of the grid cell.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec4e562YytkxfnoV,ccn1,"CCN concentration at 1.0 percent supersaturation, based on aerosol chemical composition and size",,m-3,,,1,Under review,['recJNxL84P7TjMQbK'],,,2024-08-29T16:15:37.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"Addresses current gaps in ACI, nitrate aerosol budget, and climate responses
",,,number_concentration_of_cloud_condensation_nuclei_at_1_percent_supersaturation_in_air,https://github.com/cf-convention/vocabularies/issues/214,,,,,,,,,
